CODIMUNI,municipi,comarca,provincia,km_costa
431362,la Ràpita,Montsià,Tarragona,37.907
80193,Barcelona,Barcelonès,Barcelona,27.306
439018,Deltebre,Baix Ebre,Tarragona,27.063
431482,Tarragona,Tarragonès,Tarragona,24.425
171404,el Port de la Selva,Alt Empordà,Girona,17.312
170329,Cadaqués,Alt Empordà,Girona,17.174
82704,Sitges,Garraf,Barcelona,15.828
172023,Tossa de Mar,Selva,Girona,14.166
171997,Torroella de Montgrí,Baix Empordà,Girona,14.13
430136,l'Ametlla de Mar,Baix Ebre,Tarragona,12.936
171523,Roses,Alt Empordà,Girona,12.111
81691,el Prat de Llobregat,Baix Llobregat,Barcelona,11.139
171609,Sant Feliu de Guíxols,Baix Empordà,Girona,11.001
170622,l'Escala,Alt Empordà,Girona,10.153
171181,Palamós,Baix Empordà,Girona,9.617
430043,Alcanar,Montsià,Tarragona,9.119
430141,Amposta,Montsià,Tarragona,8.606
171175,Palafrugell,Baix Empordà,Girona,8.468
170950,Lloret de Mar,Selva,Girona,8.452
170139,Begur,Baix Empordà,Girona,8.265
83073,Vilanova i la Geltrú,Garraf,Barcelona,8.208
430385,Cambrils,Baix Camp,Tarragona,7.824
170926,Llançà,Alt Empordà,Girona,7.185
430923,Mont-roig del Camp,Baix Camp,Tarragona,6.894
439023,Sant Jaume d'Enveja,Montsià,Tarragona,6.836
439060,l'Ampolla,Baix Ebre,Tarragona,6.176
431628,Vandellòs i l'Hospitalet de l'Infant,Baix Camp,Tarragona,6.066
170340,Calonge i Sant Antoni,Baix Empordà,Girona,5.959
170486,"Castell d'Aro, Platja d'Aro i s'Agaró",Baix Empordà,Girona,5.904
170237,Blanes,Selva,Girona,5.707
431536,Torredembarra,Tarragonès,Tarragona,5.411
81189,el Masnou,Maresme,Barcelona,5.348
439057,Salou,Tarragonès,Tarragona,4.952
80155,Badalona,Barcelonès,Barcelona,4.887
170545,Colera,Alt Empordà,Girona,4.798
431634,el Vendrell,Baix Penedès,Tarragona,4.723
80060,Arenys de Mar,Maresme,Barcelona,4.3
430379,Calafell,Baix Penedès,Tarragona,3.782
170470,Castelló d'Empúries,Alt Empordà,Girona,3.696
431711,Vila-seca,Tarragonès,Tarragona,3.68
81108,Malgrat de Mar,Maresme,Barcelona,3.626
81213,Mataró,Maresme,Barcelona,3.626
80749,Cubelles,Garraf,Barcelona,3.424
80351,Calella,Maresme,Barcelona,3.273
80569,Castelldefels,Baix Llobregat,Barcelona,3.076
431310,Roda de Berà,Tarragonès,Tarragona,2.935
81944,Sant Adrià de Besòs,Barcelonès,Barcelona,2.932
81635,Pineda de Mar,Maresme,Barcelona,2.807
82359,Sant Pol de Mar,Maresme,Barcelona,2.789
81727,Premià de Mar,Maresme,Barcelona,2.589
171387,Portbou,Alt Empordà,Girona,2.537
80898,Gavà,Baix Llobregat,Barcelona,2.455
83015,Viladecans,Baix Llobregat,Barcelona,2.454
82191,Vilassar de Mar,Maresme,Barcelona,2.331
431042,el Perelló,Baix Ebre,Tarragona,2.272
171812,Santa Cristina d'Aro,Baix Empordà,Girona,2.146
81976,Sant Andreu de Llavaneres,Maresme,Barcelona,2.109
430516,Cunit,Baix Penedès,Tarragona,2.001
81265,Montgat,Maresme,Barcelona,1.933
171241,Pals,Baix Empordà,Girona,1.924
171788,Sant Pere Pescador,Alt Empordà,Girona,1.803
80291,Cabrera de Mar,Maresme,Barcelona,1.742
430509,Creixell,Tarragonès,Tarragona,1.721
430120,Altafulla,Tarragonès,Tarragona,1.528
80403,Canet de Mar,Maresme,Barcelona,1.35
82649,Sant Vicenç de Montalt,Maresme,Barcelona,1.291
82613,Santa Susanna,Maresme,Barcelona,1.24
171100,Mont-ras,Baix Empordà,Girona,1.179
80327,Caldes d'Estrac,Maresme,Barcelona,0.46
82310,Sant Pere de Ribes,Garraf,Barcelona,0.35