nom,codi,industrial
Aguilar de Segarra,08002,0
Bellprat,08021,0
Capolat,08045,0
Castellar del Riu,08050,0
Castell de l'Areny,08057,0
"Estany, l'",08079,0
Fígols,08080,0
Fogars de Montclús,08081,0
Gallifa,08087,0
Gisclareny,08093,0
Granera,08095,0
Montclar,08130,0
"Nou de Berguedà, la",08142,0
Pontons,08168,0
"Quar, la",08177,0
Saldes,08190,0
Sant Agustí de Lluçanès,08195,0
Sant Jaume de Frontanyà,08216,0
Sant Sadurní d'Osormort,08241,0
Santa Maria de Miralles,08257,0
Sobremunt,08271,0
Talamanca,08277,0
Tavertet,08280,0
Vallcebre,08293,0
Vilanova de Sau,08303,0
Sant Julià de Cerdanyola,08903,0
Santa Susanna,08261,0
Caldes d'Estrac,08032,0
Badia del Vallès,08904,0
Calella,08035,0
Matadepera,08120,0
Sitges,08270,0
Vallromanes,08296,0
Sant Martí d'Albars,08225,0
Olivella,08148,0
Sant Andreu de Llavaneres,08197,0
Castellnou de Bages,08062,0
Bagà,08016,0
Premià de Mar,08172,0
Muntanyola,08129,0
Sant Vicenç de Montalt,08264,0
Alella,08003,0
Cànoves i Samalús,08042,0
Rellinars,08179,0
Santa Coloma de Gramenet,08245,0
Carme,08048,0
Tiana,08282,0
Sant Esteve de Palautordera,08207,0
Montmaneu,08133,0
Castellolí,08063,0
Castellfollit del Boix,08059,0
Rajadell,08178,0
Barcelona,08019,0
Vilalba Sasserra,08306,0
Campins,08039,0
Montseny,08137,0
Rupit i Pruit,08901,0
Castelldefels,08056,0
Sant Feliu de Codines,08210,0
Fonollosa,08084,0
"Brull, el",08026,0
Mediona,08122,0
Oristà,08151,0
"Prat de Llobregat, el",08169,0
Guardiola de Berguedà,08099,0
Tordera,08284,0
"Hospitalet de Llobregat, l'",08101,0
Malla,08111,0
Rubió,08185,0
Cubelles,08074,0
Calders,08034,0
Torrelles de Llobregat,08289,0
"Masies de Voltregà, les",08117,0
Vilassar de Mar,08219,0
Cabrera d'Anoia,08028,0
Badalona,08015,0
Sant Cugat del Vallès,08205,0
Sant Feliu de Llobregat,08211,0
Castellar de n'Hug,08052,0
Sant Pere de Ribes,08231,0
Berga,08022,0
Vallgorguina,08294,0
Vilafranca del Penedès,08305,0
Borredà,08024,0
Premià de Dalt,08230,0
Sant Martí Sesgueioles,08228,0
Cerdanyola del Vallès,08266,0
Mura,08139,0
Santa Maria de Besora,08253,0
Monistrol de Calders,08128,0
Santa Maria de Martorelles,08256,0
Sant Bartomeu del Grau,08199,0
Sabadell,08187,0
Mataró,08121,0
Montgat,08126,0
Viladecans,08301,0
Begues,08020,0
Montesquiu,08131,0
Sant Just Desvern,08221,0
Canyelles,08043,0
Santa Coloma de Cervelló,08244,0
Santa Margarida de Montbui,08250,0
Òrrius,08153,0
Pineda de Mar,08163,0
Teià,08281,0
Cornellà de Llobregat,08073,0
Mollet del Vallès,08124,0
Santa Cecília de Voltregà,08243,0
Terrassa,08279,0
Arenys de Mar,08006,0
Manresa,08113,0
"Pont de Vilomara i Rocafort, el",08182,0
Sant Boi de Llobregat,08200,0
"Espunyola, l'",08078,0
Collsuspina,08070,0
Corbera de Llobregat,08072,0
Collbató,08069,0
Veciana,08297,0
Santa Maria de Merlès,08255,0
Viver i Serrateix,08308,0
Sant Quirze Safaja,08239,0
Cabrils,08030,0
"Bruc, el",08025,0
"Palma de Cervelló, la",08905,0
Masquefa,08119,0
Pallejà,08157,0
Sant Martí de Tous,08226,0
Malgrat de Mar,08110,0
Vilanova del Vallès,08902,0
Esplugues de Llobregat,08077,0
Lluçà,08109,0
Tona,08283,0
Palau-solità i Plegamans,08156,0
"Masnou, el",08118,0
Vilanova i la Geltrú,08307,0
Castellterçol,08064,0
Prats de Lluçanès,08171,0
"Pla del Penedès, el",08164,0
Sant Joan Despí,08217,0
Sant Adrià de Besòs,08194,0
Gavà,08089,0
"Hostalets de Pierola, els",08162,0
"Roca del Vallès, la",08181,0
Callús,08038,0
Canet de Mar,08040,0
Pujalt,08176,0
Figaró-Montmany,08134,0
Sant Martí Sarroca,08227,0
Navàs,08141,0
Molins de Rei,08123,0
Vilada,08299,0
"Garriga, la",08088,0
Igualada,08102,0
Cardedeu,08046,0
Vallirana,08295,0
Sant Pere de Vilamajor,08234,0
Granollers,08096,0
Calonge de Segarra,08036,0
Tagamanent,08276,0
Tavèrnoles,08275,0
Vic,08298,1
"Granada, la",08094,1
"Llacuna, la",08104,1
Santa Eulàlia de Riuprimer,08247,1
Sant Quirze del Vallès,08238,1
Olesa de Montserrat,08147,1
Ripollet,08180,1
Roda de Ter,08183,1
Castellví de Rosanes,08066,1
Manlleu,08112,1
Vilanova del Camí,08302,1
Piera,08161,1
Montcada i Reixac,08125,1
Monistrol de Montserrat,08127,1
Castellfollit de Riubregós,08060,1
Gaià,08090,1
Sant Climent de Llobregat,08204,1
Castellví de la Marca,08065,1
"Pobla de Lillet, la",08166,1
Caldes de Montbui,08033,1
Sant Joan de Vilatorrada,08218,1
Olèrdola,08145,1
Sant Celoni,08202,1
Bigues i Riells del Fai,08023,1
Martorell,08114,1
"Ametlla del Vallès, l'",08005,1
Sant Pol de Mar,08235,1
Sant Hipòlit de Voltregà,08215,1
Cabrera de Mar,08029,1
Moià,08138,1
Esparreguera,08076,1
Subirats,08273,1
Taradell,08278,1
Gironella,08092,1
Montmajor,08132,1
Cervelló,08068,1
Calldetenes,08037,1
Cardona,08047,1
Santa Eulàlia de Ronçana,08248,1
Arenys de Munt,08007,1
Castellbell i el Vilar,08053,1
Sant Boi de Lluçanès,08201,1
Sant Llorenç Savall,08223,1
Sant Antoni de Vilamajor,08198,1
Sagàs,08188,1
"Masies de Roda, les",08116,1
Cercs,08268,1
Vilassar de Dalt,08214,1
Palafolls,08155,1
Font-rubí,08085,1
Avià,08011,1
Ullastrell,08290,1
Santa Maria de Palautordera,08259,1
Avinyonet del Penedès,08013,1
Sant Julià de Vilatorta,08220,1
"Papiol, el",08158,1
Jorba,08103,1
Gelida,08091,1
Dosrius,08075,1
Lliçà d'Amunt,08107,1
Olesa de Bonesvalls,08146,1
Castellar del Vallès,08051,1
Balenyà,08017,1
Canovelles,08041,1
Argençola,08008,1
Copons,08071,1
Sant Mateu de Bages,08229,1
Calaf,08031,1
Casserres,08049,1
Sant Fost de Campsentelles,08209,1
Sant Fruitós de Bages,08213,1
"Prats de Rei, els",08170,1
Sallent,08191,1
Sant Cebrià de Vallalta,08203,1
Torrelles de Foix,08288,1
Rubí,08184,1
Viladecavalls,08300,1
Sant Vicenç dels Horts,08263,1
Marganell,08242,1
Aiguafreda,08014,1
Fogars de la Selva,08082,1
Santa Fe del Penedès,08249,1
Santpedor,08192,1
Sant Sadurní d'Anoia,08240,1
Llinars del Vallès,08106,1
Sant Andreu de la Barca,08196,1
Abrera,08001,1
Folgueroles,08083,1
Parets del Vallès,08159,1
Capellades,08044,1
"Cabanyes, les",08027,1
Centelles,08067,1
Sant Iscle de Vallalta,08193,1
Sant Martí de Centelles,08224,1
"Franqueses del Vallès, les",08086,1
Sant Cugat Sesgarrigues,08206,1
Santa Perpètua de Mogoda,08260,1
Vacarisses,08291,1
Olvan,08144,1
Montmeló,08135,1
Argentona,08009,1
Sant Vicenç de Castellet,08262,1
Sant Esteve Sesrovires,08208,1
"Llagosta, la",08105,1
Navarcles,08140,1
Sora,08272,1
Castellet i la Gornal,08058,1
Barberà del Vallès,08252,1
Montornès del Vallès,08136,1
Gualba,08097,1
Sant Llorenç d'Hortons,08222,1
Alpens,08004,1
Puig-reig,08175,1
Sant Feliu Sasserra,08212,1
Perafita,08160,1
Artés,08010,1
Orpí,08152,1
Torelló,08285,1
Avinyó,08012,1
Seva,08269,1
Castellbisbal,08054,1
Òdena,08143,1
Torrelavit,08287,1
Sentmenat,08267,1
Vallbona d'Anoia,08292,1
"Torre de Claramunt, la",08286,1
Polinyà,08167,1
Orís,08150,1
Lliçà de Vall,08108,1
Sant Salvador de Guardiola,08098,1
Puigdàlber,08174,1
Sant Pere de Riudebitlles,08232,1
Castellcir,08055,1
Súria,08274,1
Sant Pere Sallavinera,08189,1
Santa Margarida i els Monjos,08251,1
Sant Quintí de Mediona,08236,1
Martorelles,08115,1
Castellgalí,08061,1
Sant Quirze de Besora,08237,1
Olost,08149,1
Santa Maria d'Oló,08258,1
Gurb,08100,1
Balsareny,08018,1
Vilobí del Penedès,08304,1
Pacs del Penedès,08154,1
Sant Pere de Torelló,08233,1
"Pobla de Claramunt, la",08165,1
"Esquirol, l'",08254,1
Sant Vicenç de Torelló,08265,1
Santa Eugènia de Berga,08246,1